CONTENT,CLASS
"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney ",1
Message :   GTA V  $20  FIFA 14 $15  PS4  $200  Galaxy S4 mini $250  Ipad 4   $200  visit the site hh.nl,1
fucking love it omg :v﻿,0
best song eva,0
Good times ...﻿,0
&quot;HELP THE HUMANITY WITH YOUR SIGN IN TO THIS LINK WITH YOUR WHOLEHEARTED SUPPORT IF YOU SAY &quot;NO&quot; TO DISCRIMINATION. “UNITED WE STAND “  WE WILL BRING THE CHANGE TOGETHER.  IMPOSSIBLE ITSELF SAYS I  M  POSSIBLE&quot;  YOU ARE THE WINNERS OF MY SUCCESS!CHEERS TO ALL MY LOVING BROTHERS AND SISTERS !  PLEASE SHARE THIS LINK ON FACEBOOK TO SUPPORT AGAINST DISCRIMINATION.  tinyurl(dot)com(slash)mxh2y77  FEAR NONE BUT GOD !!!,1
"If the shitty Chinese Government didn't block YouTube over there, there'd  be close to 3 billion views right now. ﻿",0
"Stop Wasting Up Your Time and  Get Paid To Mess Around On Facebook And Twitter!  GET PAID UPTO $25 to $35 AN HOUR... Only at 4NetJobs.com  Work from the Comfort of your Home... We are Currently Hiring People from all Over the World,  For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube.  You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately!  You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1
"She kinda let herself go, huh?﻿",0
her voice is so wow!,0
SUBSCRIBE TO ME! I MAKE MUSIC!,1
Love this song makes me wanna dance! ﻿,0
"C'mon Katy you are so close to 14,000,000 subscribers...come up with  another hit like this and it will happen﻿",0
"Cool Video LMFAOVEVO! You should check out my shuffling videos on my channel when you get the chance. It&#39;s much appreciated. Cheers! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23EveryDayImVaping"">#EveryDayImVaping</a> ;-)﻿",1
She is perfect! &lt;3,0
follower please https://www.facebook.com/lists/161620527267482﻿,1
SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG   SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG,1
Like this comment for no reason﻿,1
go check out our video﻿,1
THIS IS SHIT AND SOOOOO AUTOTUNED﻿,0
In my head this is like 2 years ago.. Time FLIES﻿,0
1 millioon dislikesssssssssssssssssssssssssssssssss.............﻿,0
check out my channel for rap and hip hop music,1
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1
Subscribe I&#39;ll subscribe back﻿,1
LOL this shit never gets old﻿,0
More views than nikki minaj Anaconda﻿,0
BEST PARTY SONG LITERALLY PARTY ROCK IS IN THE HOUSEE TONIGHT!!!!﻿,0
Omg! This guy sounds like an american professor green﻿,0
Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!   Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!,1
https://www.facebook.com/eeccon/posts/733949243353321?comment_id=734237113324534&amp;offset=0&amp;total_comments=74   please like frigea marius gabriel comment :D﻿,1
not 2 million view anymore :))﻿,0
Great video by a great artist in Katy Perry! Admire her creativity! Check  out our channel for no nonsense mobile tech reviews and comparisons as well  as an iPhone 6 and 6 Plus review and comparison!﻿,1
How could 108k people dislike this song or video﻿,0
"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you",1
https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!﻿,1
CHECK OUT MY CHANNEL,1
i like this song because of all the animals and i like this song .﻿,0
I love you Shakiria!!!!!!﻿,0
watch youtube video &quot;EMINEM -YTMA artist of the year&quot; plz share to vote!!!,1
"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) ",1
"Hey, join me on tsū, a publishing platform where I share my content now:  http://tsu.co/MarkusMairhofer﻿",1
BEST SONG! GO SHAKI :D﻿,0
like this comment if ur watching this on 2015 ﻿,1
SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ﻿,1
subscribe to me for call of duty vids and give aways Goal-100 subs﻿,1
Thumbs up if you watched it in 2011﻿,0
eminem new song check out my videos,1
Check out this video on YouTube:﻿,1
Check out my mummy chanel!,1
For Christmas Song visit my channel! ;)﻿,1
No long paragraph just check out my song called &quot;Fire&quot;.,1
"To help shakira become the first female to hit 1billiom views, I&#39;ve decided to watch this Video at least one a day. Everyday! Shakifans we r so close just hit the replay button !!!﻿",0
"Lets be honest, you wouldn't last 1 day on your own in the jungle. Stop  living n a fairy world.﻿",0
PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0
5th most viewed video.. i guess﻿,0
adam b beats check out my page 2013,1
I love eminem  &lt;3﻿,0
Is that Charlie from lost?﻿,0
shakira is best for worldcup﻿,0
plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,1
Please.. Check my channel out:) I subscribe back..;),1
i am a big fan of you and i love you﻿,0
Check out this video on YouTube:الإعلانات<br /><br /><br /><br /><br /><br />لل﻿,1
🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨<br />NOW THAT I HAVE YOUR ATTENTION!!! 🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨SUBSCRIBE TO MY CHANNEL!!!<br />🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨<br />GRACIAS!💋<br />🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨﻿,1
Please do buy these new Christmas shirts! You can buy at any time before  December 4th and they are sold worldwide! Don't miss out:  http://teespring.com/treechristmas﻿,1
Still the best. :D﻿,0
"<a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Awesome"">#Awesome</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Share"">#Share</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23RT"">#RT</a> Eminem - Love The Way You Lie ft. Rihanna <a href=""http://ow.ly/2zME8f"">http://ow.ly/2zME8f</a>﻿",1
subscribe me plzzzzzzz plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz﻿,1
Subscribe My Channel﻿,1
Check out this playlist on YouTube:﻿,1
Wow...5 years<br />﻿,0
For latest movies 2014 please visit this site  http://www.networkedblogs.com/p/11cPWb?ref=panorama﻿,1
Im gonna share a little ryhme canibus blows eminem away a quadrillion times especially about the categories of intelligent things in his mind. That he learned and rapped about and forgot before eminem spit his first ryme.luv ya linz 4e﻿,1
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the view disclose the macho lift? Why does the letter frame the thundering cause? Why does the talk prevent the conscious memory?",1
Check out this playlist on YouTube:a﻿,1
"Support the fight for your 4th amendment right to privacy in your home.  Stop the NSA spying on Americans with the un Patriot Act Renewal. Rand Paul has spent 10.5 hours on the Senate floor in a Protest and Filibuster fighting for our  Constitution that this Nation is founded on. Join the fight at Rand Paul dot com. Spread The Word. We Have Someone That Cares About Our Nation.  Email your Senators, Congress men and women, tell them to support Rand. Tell the news to support Rand too Senator Rand Paul was up until <a href=""http://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m00s"">1:00</a> am this passed Saturday morning fighting for our Constitution buy postponing the vote until this week. Our Constitution Matters join Rand in the fight to protect <a href=""http://it.ht"">it.ht</a> to privacy in your home and business.. Senator Rand Paul was up until <a href=""http://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m00s"">1:00</a> am this passed Saturday  morning fighting for our Constitution buy postponing the vote until this week. Our Constitution Matters To All Of US, Help Rand Protect It by joining the fright for it.﻿",1
Oh my god go to 1 billion of replay i love shakira﻿,0
if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,1
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?",1
"COME AND CHECK OUT MY NEW YOUTUBE CHHANEL, GOING TO BE POSTING DAILY!﻿",1
Check out this video on YouTube:it is a old track but it still bad﻿,1
Shuffle﻿,0
i can to make money,1
&lt;3 this song so much.SHAKIRA YOUR A REALLY GOOD ARTIST.﻿,0
plz subscribe to my channel i need subs and if you do i will sub back i  need help﻿,1
"Help shakira&#39;s waka waka be the first song by a female artist to reach 1 billion views.<br />(dark horse is ahead by roughly 100 million more views, and roar has only 50 million more views)<br /><a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0"">https://www.youtube.com/watch?v=pRpeEdMmmQ0</a>﻿",1
is that megan fox x:D?﻿,0
"Hey everyone, I&#39;m Dakoda Bigelow.  I&#39;m a 17 year old singer, rapper and producer.  I&#39;ve gained over 490,000 views so far but I really need more views, likes and subscribers in order to make it.  Check out my brand new music video for my song So Gone!  Also check out my new song called Deaf.  A few moments of your time would be greatly appreciated and you won&#39;t regret it :)  Please thumbs this up so more people can see it!  Thanks for the support.",1
"I wanted to know the name of the guy that dances at 00:58, anybody knows ?﻿",0
http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,1
I LOVE YOUR SONGS﻿,0
"To everyone joking about how he hacked to get 2 billion views because  there's a certain amount of people or whatever,  He actually did buy views.﻿",0
Nice! http://www.barnesandnoble.com/s/BDP?csrfToken=I9tIxe8cNkCosOqkEMGjLU5uwv6nSXSO&amp;sort=DD&amp;size=90&amp;csrftoken=89Iyec7nrWP5NYtnO5U7amhVmfLUtgGL&amp;dref=5094&amp;keyword=BDP&amp;store=EBOOK ﻿,1
This video is so racist!!! There are only animals.﻿,0
"Every time I watch this mv I just so so so glad that I live in a world that  don't have to worry about running from a real, human eating tiger.﻿",0
i love her﻿,0
This is getting old.........﻿,0
this is the 2nd most best song when im gone by m&amp;m﻿,0
2011- the last year of decent music.﻿,0
ｈｔｔｐ://ｗｗｗ.ｅｂａｙ.ｃｏｍ/ｕｓｒ/ｓｈｏｅｃｏｌｌｅｃｔｏｒ314,1
Check Out The New Hot Video By Dante B Called Riled Up,1
Check out this video on YouTube:﻿,1
"Hey Guys, I know you tend to skip these comments, but Take a look first.  I am Free Fire, A Big Room, Progressive House, Deep House, Dubstep &amp;  Chillstep Producer from a small town in Missouri. Down here, I have no  support from the community, and all I really ask is some critiquing,  Support, and Views.   My Music has gotten much better then what it was 10 months ago, and I  promise my new content should be more then satisfying. Soon I should be  able to advertise and I wont pester you guys anymore.  So gimme a chance and check out my music, thanks and god bless.﻿",1
Check out this playlist on YouTube:👿👳👳👳👳👳﻿,1
Visit my channel﻿,1
"If I get 100 subscribers, I will summon Freddy Mercury's ghost to whipe  from the face of earth One Direction and Miley Cirus.﻿",1
katy is beautiful. and this song is catchy. I'm a rapper with 25000  subscribers.. thumbs up if you hate when you take a shit and the water  splashes your balls﻿,1
"my sister just received over 6,500 new <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23active"">#active</a> youtube views Right now. The only thing she used was pimpmyviews. com﻿",1
CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS﻿,1
Who else saw jesses dancing sorry if I spelled it wrong  peace✌﻿,0
"9 year olds be like, 'How does this have 2 billion views when there are  only 3 people in the world'﻿",0
This Song Was Good Until It Got Overplayed The Hell Out Of On Radio﻿,0
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The plausible summer submits the behavior. When does the grass check the peaceful seat? The country strategizes the edge.",1
CHECK OUT partyman318 FR GOOD TUNEZ!! :D,1
"super nice, love musique﻿",0
"You exactly who u want to be,watching your favourite rappers on tv﻿",0
Plz help me getting 1.000 Subscribers tonight/today.  Thanks to all who sub me :)﻿,1
everyone come and check out the new GTA 5 Gameplay right Here : /watch?v=6_H0m5sAYho,1
Hey if you guys wouldnt mind...could you check out my boys and my music...we just made a real lyrical song...search DNA Andrew Guasch...I appreciate it. Leave some real feedback and keep Hip-Hop alive,1
:),0
fave song﻿,0
I love this song and expect the World Cup .﻿,0
Memories﻿,0
Check out this playlist on YouTube: I tried﻿,1
HAPPY BIRTHDAY KATY :) http://giphy.com/gifs/birthday-flowers-happy-gw3JY2uqiaXKaQXS/fullscreen  (That´s not me)﻿,1
Check out this video on YouTube:﻿,1
Hi loving it﻿,0
Hey everyone check out my channel leave a like and subscribe please and if there is a song you want me to do post the name in the comments and I will get on to it(: Thanks,1
Please subscribe to my channel!Thanks!﻿,1
 GO TO MY CHANNEL and check out my written songs﻿,1
Also check out D.j.j where do i go now and road to recovery,1
"Almost 1 billion views, nice.﻿",0
dude check out psy,1
Plz subscribe to my channel and I will subscribe back xx﻿,1
I like shakira..﻿,0
curti? click here ?  https://www.facebook.com/demiilovatofas?ref=hl   https://www.facebook.com/pages/Frases-Secretas/448800865296855?ref=hl﻿,1
"see this<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX﻿",1
People who believe in Illuminati are stupid the same people believe that  911 was made by the American government﻿,0
you cant stop the shuffle﻿,0
Check out this video on YouTube: ﻿,1
"Hey, it&#39;s Charlie from Lost﻿",0
❤❤❤❤❤❤❤﻿,0
beautiful song!﻿,0
The great mother of the jungle. Sweet and natural. I like her videos.﻿,0
lol so funny love it﻿,0
♫I know someone will see this ♥ I have a dream… I don’t have the greatest videos or the best quality Right now I feel like i'm not getting anywhere and I need your help ♫ If you could possibly watch my videos it means the world to me ♥ Please thumbs this up so others can see… I appreciate it so much ♥♫ Please listen before you hate. Honestly i  appreciate it so much  You don’t have to love me just give this 17 year old a chance﻿,1
subscribe to my channel people :D﻿,1
I'm only checking the views﻿,0
This has had over 2 billion views.  Holy shit.﻿,0
Come and watch my video it is called the odowd crowd zombie movie part 1 ﻿,1
YO GUYS IM 14 YEAR OLD RAPPER JUST STARTED RAPPING  SO PLEASE CHECK OUT MY SITE AND LEAVE FEEDBACK AND SUBSCRIBE  ALSO LIKE THIS COMMENT SO MORE CAN SEE AND MAKE MY CHANNEL BIG ASWELL,1
CHECK OUT THE DUBSTEP VERSION,1
"hey guys i really want to go to a katy perry concert so im in this contest  where i need a lot of likes and im loosing :( so please if you could like  this picture it would be very nice, thank you i really want to go to her  concert :) https://www.facebook.com/exagdl/photos/a.936868579660284.1073741943.111719098841907/937732262907249/?type=1&amp;theater ﻿",1
The best world cup song ever!!!!﻿,0
check out fantasy music    right here -------&gt; the1fantasy  good music man.,1
I LOVE YOU!!! Because u make me smile when im sad you cheer me up with your  beautiful songs (: &lt;3﻿,0
song is bad﻿,0
"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1
Check out this playlist on YouTube:﻿,1
Hi everyone. We are a duo and we are starting to record freestyles and put them on youtube. If any of you could check it out and like/comment it would mean so much to us because we love doing this. We may not have the best recording equipment but if you listen to our lyrics and rhymes I think you&#39;ll like it. If you do then please subscribe and share because we love making these videos and we want you to like them as much as possible so feel free to comment and give us pointers! Thank you!,1
https://www.facebook.com/photo.php?v=4483179854075&amp;set=vb.1727483389&amp;type=2&amp;theater ﻿,1
"Stop,is a very TOP 1﻿",0
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The meat discusss the successful memory. How does the peaceful unit arbitrate the guide? The addition designs the worried loss.",1
god she is so sexy! drives me crazy!,0
Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,1
Media is Evil! Please see and share: W W W. THE FARRELL REPORT. NET  Top Ex UK Police Intelligence Analyst turned Whistleblower Tony Farrell exposes a horrific monstrous cover-up perpetrated by criminals operating crimes from inside Mainstream Entertainment and Media Law firms. Beware protect your children!! These devils brutally target innocent people. These are the real criminals linked to London&#39;s 7/7 attacks 2005.  MUST SEE AND MAKE VIRAL!!! Also see UK Column video on 31st January 2013.,1
:D subscribe to me for daily vines,1
"Like this comment, guys i just started up a new channel if i can get 200 subscribers by tonight ill do a $20 paypal giveaway like this comment so your friends can see it or others and they can also be entered GO !!!﻿",1
Her voice sounds weird and plus she&#39;s cute for a blonde﻿,0
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The loud authority improves the canvas. When does the mother repair the uppity learning? The substantial cook derives the harbor.",1
That was very good I mean very very much good ﻿,0
Hey Guys Jaylan Here And I Just Wanted Everybody To Know if Yall Can Subscribe Please That Would Be Great! This Is My New Gaming Channel (Have Not Uploaded Yet)But I Will Upload If I Hit About 10 Subs Thank You :D﻿,1
Subscribe to my channel :)  &lt;3,1
hey guys i know its annoying getting spammed sorry bout that but please take a moment to check out my channel  IM A RAPPER with DECENT skills. i want to share my music with more people so take a listen   THUMBS UP SO MORE CAN SEE THIS,1
 plz i wilsubscribe me frndzzl subscribe u back,1
This song never gets old love it.﻿,0
😼👍😏 Like This Comment 😏👍😼﻿,1
"<a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=2m19s"">2:19</a> best part﻿",0
Being paid to respond to fast paid surveys from home has enabled me to give up working and make more than 4500 bucks monthly.  To read more go to this web site bit.ly\1bSefQe,1
"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :)",1
Charlie from Lost!﻿,0
This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿,0
Nice love itttttttt wurkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk﻿,0
Hey guys can you check my channel out plz. I do mine craft videos. Let's  shoot for 20 subs﻿,1
"2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song﻿",0
"This song is like an oreo, the black part is good but the white part is better﻿",0
You know a song sucks dick when you need to use google translate to know  what the fuck its saying!﻿,0
"no where near one of eminems actual best songs, real fans know what im talking about: Untitled, cold wind blows, welcome 2 hell, elevator, business, wtp, almost famous, 25 to life, rock bottom, no apologies, same song and dance, without me, way i am, toy soldiers, mosh and insane &lt; songs off the top of my head that&#39;s better﻿",0
i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,0
check out my page ADAM B BEATS 2013,1
https://www.facebook.com/nicushorbboy add mee &lt;3 &lt;3﻿,1
Anyone else think this video theme is a bit of an insult to 28 days later? ﻿,0
"••••►►My name is George and let me tell u EMINEM is my idol my inspiration, I&#39;ve listen to him growing up, I never thou I would love rap this much But I thank him for helping me find my dream. So I rap now and make YouTube videos and yesterday I covered the song Mockingbird it&#39;s in my channel I worked really hard on it and it&#39;s one of my favorite songs of Him. So please go check it out and subscribe it would mean the world to me n sorry for the spam ◄◄••­•• don&#39;t hate I&#39;m not Eminem",1
I fucking hate her. Why? Because she don't write her songs she got  producers for that. Second why tha fack is she in every song almost nude  mayby because she's an attention hooker.﻿,0
If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,0
I love roar and Katy Perry. She is my favorite singer and sometimes I just  mute the volume and look at her!﻿,0
"Hi there, have you heard about DribbleProShot? Just do a search on Google. On their web site you can watch a smart free video featuring the best way to significantly boost your football aka soccer skills in no time... It turned Nick into a much better football or soccer player...His team mates were definitily amazed! I hope it will help you also...",1
Its funny because I listen to rock and death metal. But i like this.﻿,0
Check out this video on YouTube:﻿,1
Come and check out my music!Im spamming on loads of videos but its just to try and get my music across to new people﻿,1
....I stil lisening this :)﻿,0
"My honest opinion. It's a very mediocre song. Nothing unique or special  about her music, lyrics or voice. Nothing memorable like Billie Jean or  Beat It. Before her millions of fans reply with hate comments, i know this  is a democracy and people are free to see what they want. But then don't I  have the right to express my opinion? Please don't reply with dumb comments  lie ""if you don't like it don't watch it"". I just came here to see what's  the buzz about(661 million views??) and didn't like what i saw. OK?﻿",0
i love this so much. AND also I Generate Free Leads on Auto Pilot &amp; You Can  Too! http://www.MyLeaderGate.com/moretraffic﻿,1
like if ur watchin in 90000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                                              1﻿,1
--&gt;ATTENTION KATYCATS! Katy leads with 7 noms at this year MTV EMA! do vote daily for her: tv.  mtvema. com/vote (delete spaces) thumbs up and share on fb﻿,1
Check out this playlist on YouTube:a﻿,1
check out you tube keithlinscotts one word keithlinscotts you tube .com,1
beautiful﻿,0
"Check my channel, please!﻿",1
Like this comment if you are watching on a phone﻿,1
Ummm... I just hit 1k subscribers. I make Minecraft videos. Help me out by checking me out?﻿,1
"This song is the most boring, asinine song I have ever heard. Coming from a  guy who liked ""Teenage Dream"" (the song). Ever since Katy Perry's divorce  it's wave after wave of shitty but successful songs... For those of you  saying ""This is the next wave of pop music"". Stick it up your ass. Katy  Perry is like Silly Putty. ﻿",0
Remeber when this song was good﻿,0
like this comment if you&#39;re watching this video when big bang happened<br />i do﻿,1
Check out this video on YouTube:﻿,1
like me﻿,0
3 yrs ago I had a health scare but thankfully I’m okay. I realized I wasn’t living life to the fullest.  Now I’m on a mission to do EVERYTHING I’ve always wanted to do. If you found out you were going to die tomorrow would you be happy with what you’ve accomplished or would you regret not doing certain things? Sorry for spamming I’m just trying to motivate people to do the things they’ve always wanted to. If you’re bored come see what I’ve done so far! Almost 1000 subscribers and I just started!,1
Every day I&#39;m Shuffling !﻿,0
Earn money for being online with 0 efforts!    bit.ly\14gKvDo,1
5 years... ﻿,0
EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS ﻿,1
Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions﻿,0
"Anyone Who LOVEs music , please go check out my youtube page and tell me  what you think . I just put a video up and will be doing more song. I'm  just trying to get myself started. Any love is much Appreciated ﻿",1
GANGMAN STY- *D-D-D-D-D-D--DROP THE BASS!!*﻿,0
Check out this video on YouTube:﻿,1
"This is fucking shit. From the first notes, that becomes clear. Complete  and utter shit. May God come and cleanse the earth of the complete and  utter idiocy which is humankind.﻿",0
I think this is now a place to promote channels in the comment section lol.﻿,0
"870,000,000 views...566,000 comments...oh my lanta﻿",0
love lmfao party rockin keep it going﻿,0
best song ever (y)﻿,0
Check out this video on YouTube:﻿,1
2015<br />I like video﻿,0
Your the best♣♥﻿,0
"Hey Music Fans I really appreciate all of you who take time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I dont have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that u won&#39;t regret!!! Thank u to all the people who just give me a chance it means a lot! :)",1
C'mon 3 billion views!!!!!!!!﻿,0
Party rock due and duel﻿,0
"i was playing this song and the baby in my belly started to dance to  it.....sooooo cute, but had to take the song out cause of copy right and  add in a youtube made song....still sooo cute the baby danced to this song  LMFAO!!! https://plus.google.com/111982027348137311818/posts/g2JVinPueMo﻿",1
Check out this video on YouTube:﻿,1
Thumbs up if you&#39;re watching in 2015﻿,0
"youtube.com/watch?v=2ASFn9ShgHk&amp;feature=youtu.be  please check out my song. looking for feedback, and supporters.",1
Check out this video on YouTube:﻿,1
subscribe to me﻿,1
I subscribed it<br />﻿,1
I remember when this used to be so popular all around at the time.<br />I still love it.﻿,0
"  HI!:D!:) We’ re TWIN MELODY ,17 year old twins :) WE DID SOME COVERS!!WE DID A COVER OF BIRTHDAY BY KATY PERRY!!  PLEASE JUST TAKE 1 SECOND AND WATCH IT!! THANKS,MERCI,GRACIAS,DANKE,OBRIGADO,GRAZIE ….    !!!  &lt;3  XX HAVE A NICE DAY!!:D﻿",1
2 billion for this shit?﻿,0
and u should.d check my channel and tell me what I should do next!﻿,1
"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock.﻿",0
The Perry you're doing a good job good job I love all of their videos and  by the way can you please describe to my channel please please please  please I'm trying to get as many comments to Skyburst lights is a cancer  and get famous please﻿,1
"Katy Perry is part of me Katy Perry is my firework Katy Perry, I love you﻿",0
Check out this video on YouTube:Facebook lhudygirlamaya ﻿,1
so beutiful,0
"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you",1
Check out this video on YouTube:﻿,1
Anybody else here in 2015?﻿,0
2 billion....Coming soon﻿,0
"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1
I love you,0
Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;﻿,1
Shakira is perfect,0
Wow 23 min ago﻿,0
This is so stupid. If you Roared at a Lion in real life you'd dede﻿,0
Very nice,0
Eminem rocks!﻿,0
I like the music...but is anyone listening to the lyrics?﻿,0
Check Out LEANDRUS - PLAYTIME It&#39;s awesoooome !!,1
I love this song for two reasons: 1.it is about Africa 2.i was born in beautiful south Africa,0
check out our bands page on youtube killtheclockhd - check out some of our original songs including &quot;your disguise&quot;,1
5 milions comentars and 2 bilion views﻿,0
I'm here to check the views.. holy shit﻿,0
COME SUBSCRIBE TO MY CHANNEL! ;-)  PLEASE!!,1
